Date,Open,High,Low,Close,Adj Close,Volume
2021-01-18,11.929470,11.929470,11.929470,11.929470,9.212282,0
2021-01-19,13.182207,13.523863,13.055035,13.167023,10.167957,34981621
2021-01-20,13.449837,13.457430,13.178411,13.237252,10.222189,21595725
2021-01-21,13.341646,13.406181,12.950641,12.950641,10.000859,19585832
2021-01-22,12.853838,12.874717,12.441954,12.565329,9.703311,23123548
2021-01-25,12.669724,12.770323,11.882018,11.980719,9.251858,21308618
2021-01-26,11.957942,12.288209,11.925674,12.216081,9.433610,15668469
2021-01-27,12.337559,12.352744,11.711191,11.794706,9.108213,21156645
2021-01-28,11.671331,12.069929,11.350554,12.069929,9.320748,20647766
2021-01-29,11.838362,12.100298,11.682719,11.891509,9.182969,13953977
2021-02-01,12.100298,12.119279,11.806095,11.963636,9.238666,10479299
2021-02-02,12.096502,12.400196,12.071827,12.328068,9.520090,16271807
2021-02-03,12.622272,12.701991,12.273024,12.350846,9.537681,17417693
2021-02-04,12.402094,12.510285,12.273024,12.441954,9.608036,13898836
2021-02-05,12.451444,12.774119,12.347049,12.683011,9.794188,17565417
2021-02-08,12.817775,12.996195,12.732361,12.906985,9.967147,12954107
2021-02-09,12.906985,12.935456,12.726667,12.806386,9.889463,9491937
2021-02-10,12.859533,12.944946,12.460935,12.557737,9.697449,11453401
2021-02-11,12.658335,12.698195,12.481813,12.489406,9.644680,7444190
2021-02-12,12.489406,12.629864,12.366030,12.590004,9.722365,7794162
2021-02-15,12.698195,12.774119,12.629864,12.720972,9.823503,7278681
2021-02-16,12.783609,12.848144,12.631762,12.812080,9.893860,8396731
2021-02-17,12.736157,12.804488,12.451444,12.536858,9.681325,10867776
2021-02-18,12.504590,12.751342,12.483712,12.607087,9.735558,12787296
2021-02-19,12.548246,12.728565,12.400196,12.698195,9.805914,11976974
2021-02-22,12.552043,12.582412,12.373623,12.531164,9.676927,11317544
2021-02-23,12.557737,12.757036,12.419177,12.595699,9.726764,12231243
2021-02-24,12.595699,12.918373,12.582412,12.888004,9.952490,12674024
2021-02-25,12.948743,13.092997,12.861431,12.867125,9.936365,9826027
2021-02-26,12.717176,12.888004,12.584310,12.749444,9.845490,15936005
2021-03-01,12.975316,13.286602,12.916475,13.214475,10.204600,15170002
2021-03-02,13.172717,13.349239,13.100590,13.186003,10.182612,14812722
2021-03-03,13.428958,13.616869,13.009481,13.161328,10.163558,24447891
2021-03-04,13.233456,13.273315,12.819673,13.136653,10.144503,17927154
2021-03-05,13.001889,13.343545,12.973418,12.984806,10.027243,15879176
2021-03-08,13.229659,13.761123,13.077812,13.745939,10.615012,23928370
2021-03-09,13.808576,14.007875,13.666219,13.996486,10.808491,18684880
